,screen_name,description,follower,following
58,gadha,Keeping it Fresh @FreshBoxRW & Directing @StartUpGrindKGL🇷🇼 Learnt a thing or 2 @CarnegieMellon Hosting @FoundersKGL Fridays 🍻 if ~failing: 📸 🏏 🌍🌏🌎,1168,5000
59,DieudonneIr,Tell me: do I complain because Rose bushes have thorns? U guessed it. I rejoice because thorn bushes have roses # Reframing Problems as Opportunities#,188,936
60,GlitzBen,🇷🇼• ɢʀɪɴᴅ sᴏ ʜᴀʀᴅ • ʏɴᴡᴀ • ᴠʏʙᴢ ᴋᴀʀᴛᴇʟ 🎼• ⚖️,2717,690
61,Olado_RW,"Online market place for everything you need at the cheapest price, shipped to your doorstep.

call us: 0783 229 174",324,242
62,bengoplay,Online Store,24,167
63,Nkurangalphonse,"Leadership, Youth empowerment & Mentorship. 2nd VP @CyclingRwanda",27286,13559
64,d_travela,"dTravela is a digital cluster that enables travelers all over the world to book reservations online for hotels, car rentals, and tours in Rwanda.",170,141
65,nic4l,,89,244
66,uyiyahen,,25,555
67,AbsherAlan,"Growing in grace and knowledge of our Lord and savior Jesus Christ, Father, Grandfather, Lover of Liberty, day trader, swing trader.",290,1092
68,mujyanama3,,9,168
69,CrevixW,,12,41
70,Yackyyacky1,"Uhmmm, just  another  one  getting  lessons  from  the  famous  teacher  called  life  .",78,350
71,nteugene2016,,8,9
72,InezaReap,,27,366
73,meli_michou,"I'm stuck in between a nightmare and lost dreams.
                       Married to Denzel Washington",930,374
74,husseinkhillar,Kubaha imana mubuzima biragufasha guhitamo uko ubaho biri mubiganza byaburi munyarwanda wese aho ava akajyera mureke nkurubyiruko twiyubakire igihugu.,85,1162
75,EmmanuelRurangw,"I appreciate marvelous look in everything|
Photography as profession and found passion in humility.",67,243
76,TBunyenye,Love my country,6,157
77,gonzague2,,70,628
78,tuyizerevenu,,2,14
79,manudy_emma,,10,131
80,mwifeli,possibility are endless once you start acting,407,1057
81,imoxzi,No plzz,686,2958
82,Gaellegisubizo,,19,115
83,claudeNTAKIRUT1,"Business oriented man, married and father.I'm passionate about sustainable development and worked in area of waste
management since 2012",8,121
84,SumitPa10200211,study,53,113
85,DarkStar779,"Hakuna Matata.

💜Megan.",2625,3408
86,MartinBuzuka,,10,67
87,KubwimanaJea,,14,109
88,ErikaScharnbock,Full time Goof Ball…...........with stars in her eyes ✨ |  Architect  |  Actress  |  Absurd  |  Australian  | #Horror #Halloween #Metal,21762,21940
89,banin8013,,52,212
90,Touchealafemme8,"Women Tags #Fashion #Foodie #Entrepreneur 
#Business",1095,2181
91,frozenplums123,"extreme lifestyle clothing brand and Avalanche rental equipment. Based in the French Alps. explorer, fun chaser and trouble causer :)",1806,3915
92,hillsidematimba,Sports Science & Tech Government & Politics,38,113
93,SiyabongaMtetwa,Co-Founder & Producer @ DOTCOM TV,310,1820
94,niksuba1,"niksuba Instagram, niksuba1 periscope",350,874
95,alexeilehasmirn,Пишу шутки о животных. А вы их оцениваете.,6851,6824
96,Muchriss,"Im artist in music, director video, actor in cinema and songs writter in Rwanda country.",2,125
97,RomelaJul,"I maybe Single, but not desperate",56,441
98,randyferrell,"Singer-Songwriter: https://t.co/PMIXKYSNhX Founder, Debonaire Media | Advertising | Marketing | Consulting | Digital Media | Entrepreneur | Music Producer",102477,110252
99,Marlaa788,"ıllıllı 𝐈𝐧𝐯𝐞𝐬𝐭𝐨𝐫, 𝐭𝐫𝐚𝐝𝐞𝐫, 𝐜𝐨𝐦𝐦𝐞𝐧𝐭𝐚𝐫𝐲 𝐩𝐫𝐨𝐯𝐢𝐝𝐞𝐫 𝐟𝐨𝐫 𝐟𝐢𝐧𝐚𝐧𝐜𝐢𝐚𝐥 𝐧𝐞𝐭𝐰𝐨𝐫𝐤𝐬  ıllıllı
ᴀɴʏ sᴛᴏᴄᴋ/sᴛʀᴀᴛᴇɢʏ ᴍᴇɴᴛɪᴏɴᴇᴅ sʜᴏᴜʟᴅ ʙᴇ ᴄᴏɴsɪᴅᴇʀᴇᴅ ғᴏʀ ᴇɴᴛᴇʀᴛᴀɪɴᴍᴇɴᴛ ᴘᴜʀᴘᴏsᴇs ᴏɴʟʏ🎭",2146,1918
100,ufelid,success is life.fx 4 life.,247,678
101,TheBestDiscount,Call: 07729493177 or outside uk +447729493177 eMail: info@AllRecycling.co.uk TopDeals & Discounts: https://t.co/4JU2ykXreD,15684,11812
102,Saconi12,"Pro Trump, Pro USA, Pro Israel, Pro Brexit Christian Anti NWO! Free Julian Assange! Guns~A population capable of resisting cannot be subjugated. Keep your guns!",8531,9050
103,aidin_behrozak4,,31,476
104,Erfanrad,Student in Molecular biology field. Avid reader. Love metal & classical music.,381,739
105,Amy_Money_,Amateur Adult Webcam Model | Check out my twitter for daily updates and tweets | Check out my webcam stream at the link below for completely free :),1480,2901
106,everybitbit,"everything related bitcoin. free earn and earn. follow me ill will follow back For U
⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐",1303,1850
107,lweyo_gerald,,341,2090
108,1foalon,,133,716
109,LIVIARENGIFO,,41,350
110,azul211068,,520,3842
111,RodneyCaseytown,Come on friends let's do this,452,1506
112,AromaDeJesus,"AROMA DE SALVACIÓN ...  A más del olor de tus suaves ungüentos, Tu nombre es como ungüento derramado... Cantares 1:3
https://t.co/71NYgewZcw",138586,128496
113,CheapTravelcom,✈  🌴 🌴Coming Soon . #SpringBreak Warm Getaways Book #Hotel Rooms #AirFares click link https://t.co/3clZVJ0kIB,16112,17756
114,Resilience_Guy,"Author, keynote speaker, licensed clinical social worker, founder of @WhyTry and @ResilienceEdge",722,504
115,stevedeangelo,Founder @lastprisonerprj Chairman Emeritus @HarborsideInc Activist Author Speaker Entrepreneur Investor https://t.co/MWmqkcJqgn,30392,11021
116,RexellaPappala1,"George Demorenschildt was nazi Erhard Milch and operation pastorius was collab w HW Bush, Nazis he helped smuggle and EMP torture devices designed by  Sharples",562,4704
117,jetpowered1,"TacticalHumorLover/Aviation Expert Witness/Boeing/McDonnell Douglas Test Pilot/Migrant Aerospace workers of America(founder), (BERNIE SANDERS 4 POTUS)",1270,4405
118,SpaceConscious,"Alchemist Series, A Walk to the Moon, Artist Frank Seidl, Minneapolis https://t.co/8mMQbwOCBP - Model Flo Li, San Diego - https://t.co/yq7KxakEkr Twitter @flolenator",35531,38173
119,nagoyamaru,一番を目指す名古屋を応援します。,3119,3757
120,Michaelv6,"Former Stand-up Comedian at Sharkey's Comedy Club (Waikiki), Gamer, Chuck Fan, and Destiny Blueberry. Twitch: theforce66 

Rest in peace Adrio.",985,1579
121,basquires77,💘  💘Music soothes the soul💘💘,37561,24624
122,GODsTempleEarth,http'NobodyLikesToBeLeftINTHE colds://en.m.wikipedia.org/wiki/Jewish_Christian,9772,11046
123,mattiwaananen,Olen kirurgi-ortopedi-traumatologi-neurokirurgi https://t.co/o7kTHOgD6L https://t.co/cmH6sofqf1 kysy tekstarilla voinko auttaa 0404827700 SecondOpinion,84939,91187
124,tableofferings,The go-to expert Tablescaper and Author shows you how to turn the simplest dinner into a memorable evening. Contributing columnist Beverly Hills Courier on-line,268071,277280
125,maxmyrate,Getting the best rates for term deposits.,896,848
126,shaktisaravana2,Rule in my hand.,546,2157
127,Great_Liberal,,857,643
128,englishlove68,,663,1909
129,Tony_BI_Yacht,BI #Sap #boxi #YachtSales #Yacht #Blues #outdoor #art #music #Charter #RV #Bourbon #followunfollow Views expressed are mine alone,6634,7285
130,zuandoemkta,"Site, friends, DJs, promoters, music producer.  @Clubefollowback",760916,818394
131,ArdenBanksbooks,"If you enjoyed reading The Hunger Games & The Maze Runner, you will be enthralled with The Timer. 
#aspiringmajormotionpicture",2055,2753
132,mmadude2016,#ufc #mma #grappling #pridefc #mixedmartialarts #martialarts #ufc200,69,105
133,FreakRapture,Rapture Freak,152,481
134,EgGalkowski,,960,4478
135,BabyBoomersUSA,🇺🇸#MAGA 💯% Great Search Engine For AIRFARES & HOTEL Room Deals Here & Bookit here For Great Deals !  https://t.co/pmnExuer28  🇺🇸 🎸 🌴 🌴 Spec.4  ▄︻̷̿┻̿═━一 US ARMY,4476,4955
136,FredRWaite,Serial tech entrepreneur. #iot #bigdata #infosec  #Angel. Swing/day trader. #Pilot. #dogs. #F4F.  Stream of consciousness tweets. Incurable optimist.,5755,7944
137,GeneMcVay,"★★Christian Conservative Retired Fighter Pilot & Wing Commander. Defender of FREEDOM, Invented #MAGA,
Author of TOP GUN MANAGEMENT, Combat Veteran.",119387,106006
138,kuronek76665550,,3946,4184
139,OutdoorsAmazing,"We specialize in artistic outdoor landscape designs in Miami. We can design, render, generate a 3-D image, and build your custom outdoor landscape.",2192,2566
140,tamaradtaylor,The Be You Project was created to teach others how to be Authentically You using biblical principles and application.,1928,4733
141,NewsArch,"Architecture projects, competitions. AugmentedReality, VR © https://t.co/tIEY98jgkG & Simon Rastorguev",321000,237064
142,Savant_Mom,Secrets for moms. #parenting #specialdiets #recipes #tips #counseling #homeschooling #productreviews #brandambassador #marketing #resources,5170,5840
143,NuStartCredit,Nu Start Financing & Credit Services is a Small Boutique Credit Repair Company. We take pride in our ability to services our clients on a One on One basis.🌎,8188,11307
144,Darryl_Sterdan,King of Tinnitist | Canada's Most-Followed Music Critic | Freelance Scribbler | Opinionated Yapper | General Misanthrope,508657,501353
145,silviu_eugen,,1318,3682
146,TimothyTimpson,TIMP,275,1027
147,zerotaxbracket,"Retirement Planner, tax advisor, insurance geek, traveller and foodie. lover of opera and art. All round nut",359,821
148,HiramSipesh,Just want the world to be a better place!,1734,3319
149,jaredpaulwilson,Best-Selling Children's Book Author/Illustrator ~ Wildlife & Western Artist https://t.co/AM5ONQrrCM ~ Actor @ RIDE TV Check out Taquito: https://t.co/gCJLmXUCmo,67726,72938
150,kimvgyoung,life is about creating our journey to be all that it can be. i am a consistent soul who appreciates the documentation of life. Peace,1975,4975
151,varepall,#MAGA Virginia Republican Alliance (VRA) is a NATIONWIDE grassroots organization promoting Conservative values. #TRUMP #PATRIOT #DEPLORABLE #VETERAN #KAG#GOTV,295385,317481
152,ToucheWellbeing,#FITNESS #Diet #ExtremeSports #Biking #Hemp #MentalHealth #Druids,2386,3682
153,Ztimulating,"Bahá'í Faith, Married, Parent, Proud American and Texan. Car Guy, 350Z Driver, stuck in 80s hair rock, Trekkie, sci-fi and comicon, F-1, go Spurs.",2388,2620
154,Mizzztyjo,,617,2589
155,rajenderjoshi2,🇧🇴 Vande Matram,826609,378223
156,NewHopesForAll,"We are NEW HOPES FOR ALL, pop punk band from Italy. This is our story, this is our life. 
Have you ever listen our first EP New Pages?
OUT NOW",1867,4115
157,FrankLayman1,DrFrankLayman - DFL #STLTmindset https://t.co/dnYHJhAe43 https://t.co/9WMLCvxK7a,3321,4933
158,borovixin,Всегда удивлен,5072,5737
159,dianemalb,😘yuy,2950,4862
160,vMixailv,"Политика, горы и подобная хрень)",19739,22184
161,becks_jamie,All dreams come true if we have the courage to pursue them.,301,606
162,bros_inc,建築家徳武智和 １日１本観る映画を夜中～朝に連続ツイート 株式会社ブロスという総合デザイン会社やってますが業務のことはつぶやきません 神奈川県藤沢市湘南台 超ハードワーカー同時に愛妻家 ＤＭや返信しませんスイマセン 住まいづくりの知恵 @sumai_ken のネタ元建築家,445210,445230
163,alexx_mitei,.,1432,1512
164,hamilton323232,#でんぱ組☆＃ＬinQ　#最上もが　　#TWICE @akimoto_rui     no follow me under18+🔞,90365,87886
165,clubtorrespin,Club Torrespin: canal de youtube dedicado a juegos como la patrulla canina,2610,3756
166,droneads_spain,,697,1238
167,OccamsBeard,"Watching from a quiet place. I like Reading, writing, enjoying genuine people from a wide array ages, places, circumstances & perspectives. Politics Independent",1758,3888
168,DaudSidow,"Father, Husband, Philanthropist and an Independent activist of HR",371,4397
169,Itafari,"a 501(c)(3) for  Rwanda  Vision:to inspire and empower every Rwandan to thrive, prosper and serve their community.",6406,5558
170,smartoshop,"Bringing the best stuff is our target, every time and every day. Here is the smart choice for you . . . .",3503,4065
171,DailyOrbitNews,,1093,4547
172,discoverhostel,"Kigali's best, budget accommodation, tours, meals, drinks & more, open to all. Also in Gisenyi @hostelrwanda | nr Akagera @rwandaecolodge | A Social Enterprise.",711,711
173,jahmu_m,"cool,God fearing and social..real niggah.....in love with hiphop music",412,1206
174,TheKiokoGroup,"KG is an industry leader providing Corporate, Individual tax return preparation, Business Payroll, Bookkeeping, Company Incorporation and TX Public Notary.",952,1459
175,companyISELtd,Business ~PROMOTION ~CONNECTION & ORGANIZATION.,151,1576
176,Ekaramu_com,,42,421
177,ajidamascene,,142,441
178,MwakyusaSadick,,165,923
179,irwanda250,_____________,440,1201
180,TankJeetu,,35,261
181,HopeAzeda,https://t.co/KmW7kVDOQg,4105,3034
182,IrisHub_Rw,"#PoweringInnovation in #Education #Agriculture #RealEstate #Healthcare #talents #Tech, #promoting #Cashless &raising #FinancialInclusion with #Innovation #Speed",1423,1917
183,Estherkanyua,"“We don't see things as they are, we see them as we are.”     Anaïs Nin",804,941
184,ikibaju,,36,335
185,badreptaytion,There's nothing I hate more than what I can't have,2098,2199
186,web24IT,"Web24 IT specializes in providing technology services and tools for the optimal management of data, 
hardware and software.
Time is our business",4367,4678
187,HKhairstudio,Follower of Christ - Wife - Brand Manager,361,1501
188,entornoint,Medio digital allanado por la dictadura de Nicolas Maduro. Más de 19 años informando para el mundo entero.,10906,11614
189,umtorress,Ancorei em novos mundos dentro da vastidão que há aqui dentro de mim.,7327,4444
190,batwangalyashe1,i was born in dis country code:+256 and i ws raised in Uganda them my money will be made in da some country..still I will keep on moving. TEAM HUSTLE GANG,459,1578
191,Daphne_muz,,911,276
192,RodrigoNew75,,1006,1636
193,LK_KUNTUOASARE,"I am a coder, investor, blogger with a grassroots activism & news site. We do local activism. Owned & operated By: Leon Kwasi Kuntuo-Asare",16400,15987
194,bn3at,i am a fun loving person. I love to be on social network. And i like making friends.,79,438
195,buchanaPN,Interested in everything that positively impacts people’s lives | Faith driven doer | CEO - @acgrouprw |,7068,2603
196,callmeDerrick,"If you follow me, you will only get lost!

#GGMU",3121,1473
197,FilmaxWebTech,,42,37
198,robertdrly1,Be the change you wish to see in the world #ItAllStartsWithU&I,440,2001
